Standard Relation,Standard Type,Standard Units,Standard Value,canonical_smiles,DOI
=,Papp,ucm/s,1.36,C1CC(CN(C1)C2=NC(=NC(=C2)N3CCC(CC3)C(=O)O)C(F)(F)F)C(=O)NCCC4=CC=C(C=C4)C#N, 10.1021/jm401731q
=,Papp,ucm/s,1.02,CC1(CCN(CC1)C2=CC(=NC(=N2)C(F)(F)F)N3CCCC(C3)C(=O)NCCC4=CC=C(C=C4)C#N)C(=O)O, 10.1021/jm401731q
=,Papp,ucm/s,2.12,C1CC(CN(C1)C2=NC(=NC(=C2)N3CCC(CC3)OC4=CC=C(C=C4)CC(=O)O)C(F)(F)F)C(=O)NCCC5=CC=C(C=C5)C#N, 10.1021/jm401731q
=,Papp,ucm/s,5.73,C1CN(CCC1OC2=CC=C(C=C2)CC(=O)O)C3=CC(=NC(=N3)C(F)(F)F)N4CCC4C(=O)NCCC5=CC=C(C=C5)C#N, 10.1021/jm401731q
=,Papp,ucm/s,2.7,COC1=C(C=CC(=C1)C2CCN(CC2)C3=CC(=NC(=N3)C(F)(F)F)N4CCC4C(=O)NCCC5=CC=C(C=C5)C#N)C(=O)O, 10.1021/jm401731q
=,Papp,10'-6 cm/s,1.6,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4CCCC4N(C3=O)CC5=CC=C(C=C5)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,2.1,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC=C(C=C6)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,3.4,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC=C(C=C6)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,1.3,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC=C(C=C6)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,9.0,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC=C(C=C6)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,1.05,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC(=C(C=C6)F)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,4.0,CC1=C(C=CC(=C1)CN2C3C4CCC(C4)C3C(=C(C2=O)C5=NS(=O)(=O)C6=C(N5)C=CC(=C6)NS(=O)(=O)C)O)F, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,0.08,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C4N(C3=O)CC6=CC=C(C=C6)F)O5)O, 10.1016/j.bmcl.2009.09.045
=,Papp,10'-6 cm/s,2.0,CS(=O)(=O)NC1=CC2=C(C=C1)NC(=NS2(=O)=O)C3=C(C4C5CCC(C5)C4N(C3=O)CC6=CC=C(C=C6)F)O, 10.1016/j.bmcl.2009.09.045
=,Papp,ucm/s,4.07,CC1(CC2C1C(CC(=CCCC2=C)C(=O)O)O)C, 10.1021/np400674t
<,Papp,ucm/s,1.0,C1CCC(CC1)C2=C(N3CC(=O)NCCC=CCS(=O)(=O)NC(=O)C4=CC3=C2C=C4)C5=COC=C5, 10.1016/j.bmcl.2012.03.097
=,Papp,ucm/s,0.08,CCC(C)OC1=C(C=C2CC(=O)N(C(C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)N(C)CC5CCC(CC5)N(C)C)OC, 10.1021/acs.jmedchem.5b00810
=,Papp,10^-6 cm/s,0.4,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O, 10.1016/j.bmcl.2008.02.072
=,Papp,10^-6 cm/s,10.0,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O, 10.1016/j.bmcl.2008.02.072
=,Papp,10^-6 cm/s,0.016,CC(C)CCN1C(=O)C(=C(C(=N1)C2=CC=CS2)O)C3=NS(=O)(=O)C4=C(N3)C=CC(=C4)NS(=O)(=O)C, 10.1016/j.bmcl.2008.02.072
=,Papp,10^-6 cm/s,0.06,CC(C)(C)CCN1C(=O)C(=C(C(=N1)C2=CC=CS2)O)C3=NS(=O)(=O)C4=C(N3)C=CC(=C4)NS(=O)(=O)C, 10.1016/j.bmcl.2008.02.072
=,Papp,10'-6 cm/s,10.0,CC(C)(C)C1=CC(=CC=C1)NC2=NC3=C(N2C)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=C(C=C4)Cl, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=CC=C4F, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CCC1=CC=CC=C1NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)C1=CC(=CC=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)C1=CC=C(C=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)C1=CC(=CC=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)N, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)SC(=N3)NC4=CC=C(C=C4)OC(F)(F)F, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=C(C=C4)Br, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=NC4=C(O3)C=CC(=C4)OC5=CC(=NC=C5)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)(C)C1=CC(=CC=C1)NC2=NC3=C(S2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)N, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=C(C=C4)OC(F)(F)F, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)C1=CC(=CC=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NCCN5CCOCC5, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=CC(=C4)C(F)(F)F, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CCC1=CC=C(C=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)(C)C1=CC(=CC=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=C(C=C4)N(C)C, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)SC(=N3)NC4=CC=C(C=C4)Cl, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)SC(=N3)NC4=CC=C(C=C4)Br, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)C1=CC=C(C=C1)NC2=NC3=C(S2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=C(C=C4)OC5=CC=CC=C5, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CCCCC1=CC=C(C=C1)NC2=NC3=C(S2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)OC(=N3)NC4=CC=CC=C4Cl, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CCCCC1=CC=C(C=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC(C)(C)C1=CC(=CC=C1)NC2=NC3=C(S2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,CC1=CC=C(C=C1)NC2=NC3=C(S2)C=CC(=C3)OC4=CC(=NC=C4)C(=O)NC, 10.1016/j.bmcl.2011.04.023
=,Papp,10'-6 cm/s,10.0,C1COCCN1CCNC(=O)C2=NC=CC(=C2)OC3=CC4=C(C=C3)SC(=N4)NC5=CC=C(C=C5)Br, 10.1016/j.bmcl.2011.04.023
=,Papp,10^-6 cm/s,20.0,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC4=C(N(C3=O)C)N(N=C4)C5=C(C=C(C=C5)F)F, 10.1021/jm100095x
