DOI,std_smiles,std_relation,Standard Value,inchi_key
 10.1016/j.bmcl.2012.02.060,CCOP(=O)(OCC)C(Cc1ccc(F)c(F)c1)c1sc2ccccc2c1C,=,3.99,QVXXUZFSNZSAAQ-UHFFFAOYSA-N
 10.1021/acs.jmedchem.5b00391,Nc1ncnc2c1ncn2C1OC(CNS(=O)(=O)NC(=O)c2ccccc2[O-])C(O)C1F,=,4.2,FPACLPPPCSHSNN-UHFFFAOYSA-M
 10.1016/j.bmc.2013.11.037,COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(NC(=O)c2ccccc2)c2ccccc2)C(C)=C1C3(C)C,=,1.48,MLKPYCHOESOSAO-UHFFFAOYSA-N
 10.1039/C2MD20231J,N#Cc1cccc(Cl)c1-c1ccc(N2CCOc3ncnc(N)c3C2=O)cc1,>,10.0,WMATUPRBHATHNK-UHFFFAOYSA-N
 10.1016/j.bmc.2007.06.018,CC1OC(c2ccc(Cl)cc2)OCC1NC(=O)Cc1ccccc1,=,10.15,PARBHVFFXUAMCV-UHFFFAOYSA-N
 10.1021/jm100601q,COc1cc(C=CC(=O)C(Cc2cn(CCCCCCNC(=O)CCNC(=O)CCNC(=O)COC3CCC4(C)C(=CCC5C4CCC4(C)C(C(C)CCCC(C)C)CCC54)C3)nn2)=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O,=,4.6,VUPKAWACIDJFJR-UHFFFAOYSA-N
 10.1021/jm060133g,CCCC(CC1(C(=O)Nc2nnc(C)s2)CCCC1)C(=O)O,<,1.0,FEIWTOVFMGPLGF-UHFFFAOYSA-N
 10.1016/j.bmcl.2011.12.117,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2cc(F)cc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,=,0.7,QOSMEMHKXNNIGG-UHFFFAOYSA-N
 10.1021/jm300991n,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,=,19.0,GWWAWENWSRQRAM-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.05.129,N=C(N)SCc1cc(F)ccc1Sc1cc(F)c(F)cc1CSC(=N)N,<,0.1,FNXDTKKOGLILRY-UHFFFAOYSA-N
 10.1016/j.bmc.2013.11.037,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,=,0.58,ULGZDMOVFRHVEP-UHFFFAOYSA-N
 10.1021/jm301887f,CCCCCc1c(Cl)nc(NC(=O)NC(C)(C)C)c(=O)n1CC(=O)Nc1ccccc1C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,=,0.04,MCUHOHGCPLAMGK-UHFFFAOYSA-N
 10.1016/j.bmc.2015.07.056,COc1ccccc1C(=O)C=Cc1ncccc1C(F)(F)F,=,17.3,MKLBNEGMGKQFIB-UHFFFAOYSA-N
 10.1021/jm2003359,NCC(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(Cl)cc2)C1,=,0.44,GYYCMJYHMMFFNH-UHFFFAOYSA-N
 10.1016/j.bmc.2011.10.022,CCN1CCN(S(=O)(=O)c2cnc(OCCOC)c(-c3nc4c5n(nc4c(=O)[nH]3)CCCC5C)c2)CC1,=,24.0,YZIHTESSIPQRSR-UHFFFAOYSA-N
 10.1039/C1MD00077B,CNC(=O)C(NC(=O)C(O)(CCCN(Cc1ccc(C#Cc2cccnc2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,=,6.1,ZCXJMFZAKZFEGA-UHFFFAOYSA-N
 10.1021/jm3012273,CC(C)CC(CO)Nc1nc([S+]([O-])Cc2ccccc2)nc2[nH]c(=O)sc12,=,1.0,QORPNJQYKGLIAV-UHFFFAOYSA-N
 10.1021/jm300810x,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(NC4CCC(O)CC4)c3)c2C1,=,1.1,ZFVRYNYOPQZKDG-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.06.102,CCOc1cccc(C(=O)NC2(C(=O)NC(Cc3ccccc3)C(=O)NCC3CCN(CC4CCOCC4)CC3)CCCC2)c1,<,1.0,NMVZWNCQWXRSME-UHFFFAOYSA-N
 10.1016/j.bmcl.2008.06.102,CSc1ccc(C=CC(=O)NC2(C(=O)NC(Cc3ccccc3)C(=O)NCC3CCN(CC4CCOCC4)CC3)CCCC2)cc1,=,4.7,VGEWWRRLVWLZAP-UHFFFAOYSA-N
 10.1021/jm300991n,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)C(C(C)C)=N2)cc1,=,30.0,SFBOKXSMKXLXQE-UHFFFAOYSA-N
 10.1016/j.bmcl.2011.04.023,CC(C)c1cccc(Nc2nc3cc(Oc4ccnc(C(N)=O)c4)ccc3o2)c1,=,10.0,OCLUDSMFDMYTMT-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.05.129,N=C(N)SCc1cc(F)ccc1Oc1ccc(F)cc1CSC(=N)N,<,0.1,OXAGDHOUNYGFBJ-UHFFFAOYSA-N
 10.1021/ml400526d,CC1(c2cc(=O)[nH]o2)CCNCC1,=,0.4,JEGDFKOGLTVGEE-UHFFFAOYSA-N
 10.1016/j.ejmech.2012.03.014,Cn1c(=S)[nH]c2ccccc21,=,8.14,CDNHLXOFELOEOL-UHFFFAOYSA-N
 10.1039/C2MD20231J,CC(=O)NCc1ccc(-c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)c(Cl)c1,=,14.5,BALRMJVERSQQLD-UHFFFAOYSA-N
 10.1016/j.bmcl.2010.12.038,FC1CNCCC1n1cc(-c2ccc3c(c2)Cc2cn[nH]c2-3)c(-c2ccncc2)n1,=,11.36,XMUIHQBLEQJXIH-UHFFFAOYSA-N
 10.1016/j.bmc.2006.10.002,CCCC(CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,=,9.0,FWXXCSISWQQOGS-UHFFFAOYSA-N
 10.1021/jm200497t,NC(=O)C1CCN(c2ncc(-c3ccc4c(c3)OCCCO4)s2)CC1,=,13.1,LWCOWPKRRXJNCW-UHFFFAOYSA-N
 10.1016/j.bmcl.2012.01.124,CC(=O)N1CCN(c2nc(NC(C)c3ccc(OC(F)(F)F)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,=,4.5,XFUQSGZNGBVIKN-UHFFFAOYSA-N
 10.1021/jm500126s,CCN1C(=O)c2ccccc2[S+]([O-])c2ccc(C(=O)NCc3ccc(OC)cc3)cc21,=,21.6,UFOYCFLCNQFALX-UHFFFAOYSA-N
