std_smiles,std_units,std_relation,std_values,inchi_key
N#Cc1ccc(CCNC(=O)C2CCCN(c3cc(N4CCC(C(=O)O)CC4)nc(C(F)(F)F)n3)C2)cc1,ucm/s,=,1.36,BCNFTQRTFDSTCZ-UHFFFAOYSA-N
CC1(C(=O)O)CCN(c2cc(N3CCCC(C(=O)NCCc4ccc(C#N)cc4)C3)nc(C(F)(F)F)n2)CC1,ucm/s,=,1.02,MZFDIDUAQNNHHY-UHFFFAOYSA-N
N#Cc1ccc(CCNC(=O)C2CCCN(c3cc(N4CCC(Oc5ccc(CC(=O)O)cc5)CC4)nc(C(F)(F)F)n3)C2)cc1,ucm/s,=,2.12,SZGADYJZXQTEGD-UHFFFAOYSA-N
N#Cc1ccc(CCNC(=O)C2CCN2c2cc(N3CCC(Oc4ccc(CC(=O)O)cc4)CC3)nc(C(F)(F)F)n2)cc1,ucm/s,=,5.73,SEJKRPRNVCOMDV-UHFFFAOYSA-N
COc1cc(C2CCN(c3cc(N4CCC4C(=O)NCCc4ccc(C#N)cc4)nc(C(F)(F)F)n3)CC2)ccc1C(=O)O,ucm/s,=,2.7,WIAGWRWRFOVUSG-UHFFFAOYSA-N
C=C1CCC=C(C(=O)O)CC(O)C2C1CC2(C)C,ucm/s,=,4.07,LMJMJHGFJXZGDE-UHFFFAOYSA-N
O=C1Cn2c(-c3ccoc3)c(C3CCCCC3)c3ccc(cc32)C(=O)NS(=O)(=O)CC=CCCN1,ucm/s,<,1.0,RRJASEKAQIQCPY-UHFFFAOYSA-N
CCC(C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(N(C)CC3CCC(N(C)C)CC3)cc1)C2c1ccc(Cl)cc1,ucm/s,=,0.08,IXFIHZIZFSCBSU-UHFFFAOYSA-N
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3cc[nH]c23)n1,ucm/s,=,9.5,JZLUCFJMWJDRIK-UHFFFAOYSA-N
Cc1c[nH]c2c(Nc3nc(NC4CCCCC4N)cc4nc[nH]c(=O)c34)cccc12,ucm/s,=,9.5,ZTMATBOBWAXBCV-UHFFFAOYSA-N
CN1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,ucm/s,=,27.4,VXBAJLGYBMTJCY-UHFFFAOYSA-N
Nc1ncnc2c1ncn2C1OC(CNS(=O)(=O)NC(=O)c2ccccc2O)C(O)C1O,ucm/s,=,1.23,CHPCUEVDLWQUFT-UHFFFAOYSA-N
Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)c2ccccc2O)C(O)C1O,ucm/s,=,1.23,SABYITLYKSVAAD-UHFFFAOYSA-N
CC(=O)OC1C(COS(=O)(=O)NC(=O)c2ccccc2[O-])OC(n2cnc3c(N)ncnc32)C1OC(C)=O,ucm/s,=,0.62,DNMXYYGTFONDQK-UHFFFAOYSA-M
O=C(NS(=O)(=O)NCC1OC(n2cnc3c(NC4CC4)nc(-c4ccccc4)nc32)C(O)C1O)c1ccccc1[O-],ucm/s,=,0.52,RRWULZXWGDDLCV-UHFFFAOYSA-M
Nc1ncnc2c1ncn2C1OC(CNS(=O)(=O)NC(=O)c2ccccc2[O-])C(O)C1F,ucm/s,=,4.2,FPACLPPPCSHSNN-UHFFFAOYSA-M
CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,ucm/s,=,13.0,UCMNIYFDRVBMFV-UHFFFAOYSA-N
CNC(=O)CCC(CO)N(C)C(=O)c1ccc2c(c1)c1c(n2C)CCC(C2CCOCC2)C1,ucm/s,=,0.15,SUYLSHGQFVSWSI-UHFFFAOYSA-N
CN(CC(=O)NC1CC1)C(=O)c1ccc2c(c1)c1c(n2C)CCC(C2CCOCC2)C1,ucm/s,=,27.0,LBJXQEHAPRESNJ-UHFFFAOYSA-N
CNC(=O)CCCN(C)C(=O)c1ccc2c(c1)c1c(n2C)CCC(C2CCOCC2)C1,ucm/s,=,12.0,LYYAOAAEQUTERQ-UHFFFAOYSA-N
CN(C(=O)c1ccc2c(c1)c1c(n2C)CCC(C2CCOCC2)C1)C(CO)CCC(=O)NCCF,ucm/s,=,0.11,LHROVEQUEJTMFN-UHFFFAOYSA-N
CCN(CC(=O)NC1CC1)C(=O)c1ccc2c(c1)c1c(n2C)CCC(C2CCOCC2)C1,ucm/s,=,23.0,MAAGUWONZDCLSO-UHFFFAOYSA-N
invalid_smiles,ucm/s,=,0.21,invalid_smiles
CCCN(CCO)C(=O)c1cc2ccccn2c1-c1ccccc1,ucm/s,=,60.0,QXDURZPZWNPAIN-UHFFFAOYSA-N
CCN(CCO)C(=O)c1cc2cccnn2c1-c1cccc(C(F)(F)F)c1,ucm/s,=,42.0,UCJMDMYGVGENKA-UHFFFAOYSA-N
CCN(CCO)C(=O)c1cc2ccccn2c1-c1cccc(OC)c1,ucm/s,=,54.0,NXWPSNJCNAFOBE-UHFFFAOYSA-N
COc1cccc(-c2c(C(=O)N3CCCCC3CO)cc3ccccn23)c1,ucm/s,=,58.0,CORFFCKGBFFQAQ-UHFFFAOYSA-N
invalid_smiles,ucm/s,=,56.0,invalid_smiles
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2CC1OCC#CC#CCOC1Cc2ccccc2C1NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C1CCCCC1)C1CCCCC1,ucm/s,<,0.1,WLMCRYCCYXHPQF-UHFFFAOYSA-N
