MoKa.LogD7.4,"fraction unbound 
in plasma (fu)",moka_ionState7.4,std_smiles,std_relation,human VDss (L/kg),inchi_key
1.1,0.61,neutral,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,=,6.1,IAKHMKGGTNLKSZ-INIZCTEOSA-N
-7.1,0.15,anionic,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,=,0.13,SRZNHPXWXCNNDU-RHBCBLIFSA-N
1.2,0.46,cationic,CCCN[C@H](C)C(=O)Nc1c(C)csc1C(=O)OC,=,7.7,QTGIAADRBBLJGA-SECBINFHSA-N
9.0,0.0038,neutral,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@H]3[C@](C)(C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](O)C[C@H]1OC[C@]13OC(C)=O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,=,0.068,LRCZQSDQZJBHAF-PUBGEWHCSA-N
-4.0,,neutral,O=S(=O)(O)c1cc(O)ccc1O,=,0.12,IKQCSJBQLWJEPU-UHFFFAOYSA-N
2.0,,neutral,COC(=O)C1(OC(=O)c2cncn2[C@H](C)c2ccccc2)CC1,=,,DRAFVCKNYNQOKR-GFCCVEGCSA-N
2.1,,cationic,CN(C)[C@@H](c1cccc(O)c1)[C@H]1CCCC[C@H]1O,=,,UVTLONZTPXCUPU-ZNMIVQPWSA-N
-0.5,0.043,anionic,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,=,0.19,UIOFUWFRIANQPC-JKIFEVAISA-N
-3.9,0.92,zwitterionic,C[C@@H]1C(S[C@H]2CN[C@H](CNS(N)(=O)=O)C2)=C(C(=O)O)N2C(=O)[C@@H]([C@H](C)O)C12,=,0.23,AVAACINZEOAHHE-VDTVNISFSA-N
1.7,0.12,neutral,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,=,1.51,SQKXYSGRELMAAU-UHFFFAOYSA-N
0.86,,cationic,CN(C)CCCNC(=O)/C(=C/CCCCC(=O)NO)COc1cccc2ccccc12,=,0.45,AUGCSOFQTDKPSO-RGVLZGJSSA-N
4.3,0.08,neutral,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,=,0.52,PHLBKPHSAVXXEF-UHFFFAOYSA-N
-0.84,,zwitterionic,O=C(NCCN1CCN=C1c1ccncc1)Nc1ccc(C(=O)O)cc1,=,0.35,QBVPWMWOTZZZRZ-UHFFFAOYSA-N
-3.8,0.73,anionic,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,=,0.17,WZOZEZRFJCJXNZ-ZBFHGGJFSA-N
-3.5,0.87,zwitterionic,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,=,0.3,DMJNNHOOLUXYBV-PQTSNVLCSA-N
1.8,0.28,cationic,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,=,1.66,ACRHBAYQBXXRTO-OAQYLSRUSA-N
