std_smiles,human VDss(L/kg)
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.0269
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.204
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,0.613
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1.23
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0.477
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.274
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.362
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1.52
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,-0.456
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.38
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0.114
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,0.398
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,-0.796
CN1CCC[C@H]1c1cccnc1,0.415
Cn1c(=O)c2nc[nH]c2n(C)c1=O,-0.292
Cc1ncc([N+](=O)[O-])n1CCO,-0.398
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,0.602
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,-0.319
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,-0.125
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0.176
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,-0.886
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-0.796
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,-1.15
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,-0.0706
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,0.342
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1.78
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-0.125
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-0.824
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,0.973
Cc1cc(=O)n(-c2ccccc2)n1C,-0.114
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-1.01
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-0.886
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.146
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-0.42
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.114
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.643
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.0792
CC(=O)Oc1ccccc1C(=O)O,-0.658
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-0.921
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,-0.481
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-0.0655
