logD@pH7.4,Cationic fi@pH7.4,human fup,std_smiles,std_relation,human VDss(L/kg),inchi_key
-0.39,0.995,0.74,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,=,1.7,GOEMGAFJFRBGGG-UHFFFAOYSA-N
0.38,0.0,0.52,CC(=O)Nc1ccc(O)cc1,=,1.0,RZVAJINKPMORJF-UHFFFAOYSA-N
-2.57,0.0,0.68,CC(=O)Oc1ccccc1C(=O)O,=,0.22,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
2.39,0.11199999999999999,0.086,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,=,0.45,IDBPHNDTYPBSNI-UHFFFAOYSA-N
-0.1,0.0,0.97,O=c1[nH]cnc2[nH]ncc12,=,0.58,OFCNXPDARWKPPY-UHFFFAOYSA-N
2.16,0.0,0.29,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,=,0.8,VREFGVBLTWBCJP-UHFFFAOYSA-N
0.62,0.9940000000000001,0.18,C=CCc1ccccc1OCC(O)CNC(C)C,=,3.2,PAZJSJFMUHDSTF-UHFFFAOYSA-N
-0.81,0.9990000000000001,0.33,NC12CC3CC(CC(C3)C1)C2,=,6.6,DKNWSYNQZKUICI-UHFFFAOYSA-N
0.11,0.027000000000000003,0.39,Nc1ccc(O)c(C(=O)O)c1,=,0.33,KBOPZPXVLCULAV-UHFFFAOYSA-N
5.95,0.955,0.0002,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,=,60.0,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
2.94,0.99,0.07,CN(C)CCC=C1c2ccccc2CCc2ccccc21,=,8.7,KRMDCWKBEZIMAB-UHFFFAOYSA-N
3.14,0.0,0.2,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,=,0.77,ZPMKQFOGINQDAM-UHFFFAOYSA-N
-3.2,0.447,0.85,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,=,0.25,LSQZJLSUYDQPKJ-NJBDSQKTSA-N
-1.8,0.355,0.85,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.22,AVKUERGKIZMTKX-NJBDSQKTSA-N
0.34,0.0,0.93,Cc1cc(=O)n(-c2ccccc2)n1C,=,0.77,VEQOALNAAJBPNY-UHFFFAOYSA-N
-4.25,0.0,0.26,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,=,0.35,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
-1.51,0.9940000000000001,0.94,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,=,0.95,METKIMKYRPQLGS-UHFFFAOYSA-N
1.3,0.998,0.02,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,=,0.85,VHGCDTVCOLNTBX-QGZVFWFLSA-N
-0.16,0.996,0.61,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,=,3.3,RKUNBYITZUJHSG-SPUOUPEWSA-N
1.93,0.993,0.17,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,=,15.0,MBUVEWMHONZEQD-UHFFFAOYSA-N
0.9,1.956,0.88,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,=,33.0,MQTOSJVFKKJCRP-BICOPXKESA-N
2.33,0.0,0.36,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,=,1.3,UREBDLICKHMUKA-DVTGEIKXSA-N
0.46,0.985,0.4,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,=,4.8,NWIUTZDMDHAVTP-UHFFFAOYSA-N
-0.38,0.993,0.66,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,=,2.4,VHYCDWMUTMEGQY-UHFFFAOYSA-N
1.38,0.0,0.48,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,=,0.85,VMIYHDSEFNYJSL-UHFFFAOYSA-N
-0.52,0.001,0.031,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,=,0.16,MAEIEVLCKWDQJH-UHFFFAOYSA-N
1.48,0.86,0.17,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,=,12.0,IFKLAQQSCNILHL-QHAWAJNXSA-N
-0.01,0.0,0.64,Cn1c(=O)c2c(ncn2C)n(C)c1=O,=,0.63,RYYVLZVUVIJVGH-UHFFFAOYSA-N
-1.35,0.0,0.002,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,=,0.13,HTQMVQVXFRQIKW-UHFFFAOYSA-N
-2.4,0.0,0.73,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,=,0.75,FAKRSMQSSFJEIM-RQJHMYQMSA-N
1.09,0.0,0.001,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,=,0.22,PUXBGTOOZJQSKH-UHFFFAOYSA-N
-1.1,0.275,0.85,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,=,0.21,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N
-1.62,0.0,0.8,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12,=,0.46,CZTQZXZIADLWOZ-CRAIPNDOSA-O
-2.2,0.0,0.22,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,=,0.07,XIURVHNZVLADCM-IUODEOHRSA-N
-1.15,0.44299999999999995,0.95,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,=,0.21,RDLPVSKMFDYCOR-UEKVPHQBSA-N
