ID,Name,CAS #,CAS,SMILES ,InChiKeys,VDss (L/kg),Reference,Comments
1,Abacavir,136470-78-5,136470-78-5,c12n(cnc1c(nc(n2)N)NC1CC1)[C@@H]1C[C@@H](CC1)CO,TYPRESGPNUCUCA-SCZZXKLOSA-N,0.84,"Chittick GE, Gillotin C, McDowell JA, Lou Y, Edwards KD, Prince WT, and Stein DS. (1999) Abacavir: absolute bioavailability, bioequivalence of three oral formulations, and effect of food.    Pharmacotherapy 19: 932-942.  Ziagen Product Label.",
2,Abanoquil,90402-40-7,90402-40-7,CCC(C1NC(=O)C(NC(=O)CC(C)(C)SSCC(NC(=O)C(NC(=O)C(NC1=O)C(O)C)CC(=O)N)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)N)CC(C)C)Cc1ccc(cc1)OC)C,ZXHAQJSRGRIXJY-UHFFFAOYSA-N,6.3,"Schafers RF, Elliott HL, Meredith PA, Miller SHK, and Reid JL (1991) Studies with abanoquil (UK-52,046) a novel quinoline α1-adrenoceptor antagonist:  II.  Duration of action, pharmacokinetics and concentration-effect relationships in normotensive subjects.  Br. J. Clin. Pharmacol. 32: 605-610.",
3,Acarbose,56180-94-0,56180-94-0,O([C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]1CO)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)O)[C@H]1O[C@@H]([C@@H](N[C@@H]2[C@H](O)[C@@H](O)[C@H](O)C(=C2)CO)[C@H](O)[C@H]1O)C,XUFXOAAUWZOOIT-SXARVLRPSA-N,0.32,"Putter J, Keup U, Krause HP, Muller L, and Weber H (1982) Pharmacokinetics of acarbose.  Int. Congr. Ser. 594: 38-48. ",
4,Acebutolol,37517-30-9,37517-30-9,O(CC(O)CNC(C)C)c1c(cc(NC(=O)CCC)cc1)C(=O)C,GOEMGAFJFRBGGG-UHFFFAOYSA-N,1.7,"Kaye CM, Kumana CR, Leighton M, Hamer J, and Turner P (1976) Observations on the pharmacokinetics of acebutolol.  Clin. Pharmacol. Ther.  19: 416-420.  Meffin PJ, Winkle RA, Peters FA, and Harrison DC (1977) Acebutolol disposition after intravenous administration.  Clin. Pharmacol. Ther. 22: 557-567.  Roux A, Flouvat B, Chau NP, Letac B, and Lucsko M (1980) Pharmacokinetics of acebutalol after intravenous bolus administration.  Br. J. Clin. Pharmacol. 9: 215-217.","Vss calculated from digitized plots from Kaye, et al, and from reported microconstants from Roux, et al."
5,Acecainide (N-acetylprocainamide),32795-44-1,32795-44-1,c1cc(ccc1C(=O)NCCN(CC)CC)NC(=O)C,KEECCEWTUVWFCV-UHFFFAOYSA-N,1.9,"Coyle JD, Boudoulas H, and Lima JJ (1991) Acecainide pharmacokinetics in normal subjects of known acetylator phenotype.  Biopharm. Drug Dispos. 12: 599-612.   Connolly SJ and Kates RE (1982)  Clinical pharmacokinetics of N-acetylprocainamide.    Clin. Pharmacokinet. 7: 206-220.",
6,Acetaminophen,103-90-2,103-90-2,CC(=O)Nc1ccc(cc1)O,RZVAJINKPMORJF-UHFFFAOYSA-N,1.0,"Rowlins MD, Henderson DB, Hijab AR (1977) Pharmacokinetics of paracetamol (acetaminophen) after intravenous and oral administration.  Eur. J. Clin. Pharmacol. 11: 283-286.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",VDss calculated from micro rate constants provided in Rowlins et al.
7,Acetazolamide,59-66-5,59-66-5,CC(=O)c1cc[nH]c1C(=O)N,CDSATVVADOLVOV-UHFFFAOYSA-N,0.37,"Chapron DJ, Sweeney KR, Feig PU, and Kramer PA (1985) Influence of advanced age on the disposition of acetazolamide.  Br. J. Clin. Pharmacol. 19: 363-371.",VDss and t1/2 were calculated from C vs t data obtained by digitization of plots included in the reference.
8,"Acetylcysteine, N-",616-91-1,616-91-1,SC[C@H](NC(=O)C)C(=O)[O-],PWKSKIMOESPYIA-BYPYZUCNSA-M,0.55,"Prescott LF, Donovan JW, Jarvie DR, and Proudfoot AT (1989) The disposition and kinetics of intravenous N-acetylcysteine in patients with paracetamol overdosage.  Eur. J. Clin. Pharmacol. 37: 501-506.  Acetadote Product Label.",
9,"Acetylmethadol, L-",1477-40-3,1477-40-3,O([C@H](C(c1ccccc1)(c1ccccc1)C[C@@H](N(C)C)C)CC)C(=O)C,XBMIVRRWGCYBTQ-AVRDEDQJSA-N,8.3,"Walsh SL, Johnson RE, Cone EJ, and Bigelow GE (1998) Intravenous and oral l-.alpha.-acetylmethadol: pharmacodynamics and pharmacokinetics in humans.  J. Pharmacol. Exp. Ther.  285: 71-82.  Toro-Goyco E, Martin BR, and Harris LS (1980) Binding of 1-alpha-acetylmethadol and its metabolites to blood constituents.  Biochem. Pharmacol. 29: 1897-1902.",
10,Acetylsalicylic Acid,50-78-2,50-78-2,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,0.22,"Aarons L, Hopkins K, Rowland M, Brossel S, and Thiercelin JF (1989) Route of administration and sex differences in the pharmacokinetics of aspirin, administered as its lysine salt.   Pharm. Res. 6: 660-666.  Lee S, Johnson D, Klein J, and Eppler J (1995) Protein binding of acetylsalicylic acid and salicylic acid in porcine and human serum.  Vet. Human Toxicol. 37: 224-225",
