std_smiles,std_relation,VDss (L/kg),inchi_key
CN1C(=O)CC[C@H]1c1cccnc1,=,1.1,UIKROCXWUNQSPJ-VIFPVBQESA-N
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,=,0.25,LSQZJLSUYDQPKJ-NJBDSQKTSA-N
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,=,0.17,FPPNZSSZRUTDAP-UWFZAAFLSA-N
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1,=,0.28,MQLRYUCJDNBWMV-GHXIOONMSA-N
N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,=,2.2,ALAXZYHFVBSJKZ-UHFFFAOYSA-N
C/C=C/C[C@@H](C)C(=O)[C@@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,=,1.8,YJDYDFNKCBANTM-LLAKQOBUSA-N
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,=,4.8,SGUAFYQXFOLMHL-UHFFFAOYSA-N
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,=,1.9,NDAUXUAQIAJITI-UHFFFAOYSA-N
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,=,1.9,KEECCEWTUVWFCV-UHFFFAOYSA-N
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,=,0.2,NNULBSISHYWZJU-NNFJCDMRSA-N
CCOc1ccccc1OCC1CNCCO1,=,0.73,YWPHCCPCQOJSGZ-UHFFFAOYSA-N
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,=,1.8,HBOMLICNUCNMMY-XLPZGREQSA-N
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,=,0.15,JETQIUPBHQNHNZ-NJBDSQKTSA-N
