Name ,IC,Human VD,Human Vd ref,Human Fu ,Human Fu ref,Rat VD,Rat Vd ref,Rat Fu ,Rat Fu ref,Dog VD,Dog Vd ref,Dog Fu ,Dog Fu ref,Monkey VD,Monkey Vd ref,Monkey Fu ,Monkey Fu ref,Human blood:plasma ratio,,Log D,LogD ref,PKA Acid,PKA  Acid ref,PKA Base,PKA Base ref
Actisomide,B,0.58,Obach et al,0.6954,Obach et al,4.2,Obach et al,0.63,Obach et al,1.3,Obach et al,0.618,Obach et al,1.6,Obach et al,0.6556,Obach et al,0.78,Gastroplus estimate,0.4,Calc,,,10.5,Calculated PKA
Almotriptan,B,2.2,Obach et al,0.6,Obach et al,2.7,Obach et al,0.72,Obach et al,3.98,Obach et al,0.73,Obach et al,2.61,Obach et al,0.6989,Obach et al,0.86,Gastroplus estimate,-2.1,"Pascual J, Muñoz P,Correlation between lipophilicity and triptan outcomes,Headache. 2005,45,3-6.",,,9.48,Calculated PKA
Antipyrine,N,0.77,Obach et al,0.93,Obach et al,0.81,Obach et al,1,Obach et al,0.09,Obach et al,0.6,Obach et al,0.74,Obach et al,0.9083,Obach et al,1,Berry et al,0.28,Bennet et al,,,,
Aztreonam,A,0.18,Obach et al,0.4,Obach et al,0.41,Obach et al,0.15,Obach et al,2.1,Obach et al,0.8,Obach et al,0.3,Obach et al,0.53,Obach et al,0.54,Gastroplus estimate,-5.07,Bennet et al,-0.2,Caclulated PKA,,
Betamipron,A,0.28,Obach et al,0.17,Obach et al,0.23,Obach et al,0.14,Obach et al,0.4,Obach et al,0.59,Obach et al,0.23,Obach et al,0.28,Obach et al,0.72,Gastroplus estimate,-2.5,Calc,4.3,Caclulated PKA,,
Biperiden,B,6.2,Berry et al,0.14,Berry et al,14,Berry et al,0.11,Berry et al,9.5,Berry et al,0.096,Berry et al,3.6,Berry et al,0.077,Berry et al,0.95,Berry et al,2,Calc,,,9.3,Calculated PKA
Bisoprolol,B,2.4,Obach et al,0.66,Obach et al,1.4,Obach et al,0.85,Obach et al,3.5,Obach et al,0.72,Obach et al,3,Obach et al,0.75,Obach et al,0.93,Gastroplus estimate,-0.23,Bennet et al,,,9.42,Calculated PKA
Bupivacaine,B,0.84,Obach et al,0.056,Obach et al,2.4,Obach et al,0.23,Obach et al,0.7,Obach et al,0.11,Obach et al,0.66,Obach et al,0.051,Obach et al,0.68,Berry et al,2.4,Calc,,,8.1,Manallack
Caffeine,N,0.73, Jolivette and Ward,0.78, Jolivette and Ward,0.92, Jolivette and Ward,0.7, Jolivette and Ward,0.76, Jolivette and Ward,0.9, Jolivette and Ward,0.83, Jolivette and Ward,0.95, Jolivette and Ward,1,Berry et al,-0.07,Bennet et al,,,,
Captopril,A,0.75,Obach et al,0.73,Obach et al,1.7,Obach et al,0.73,Berry et al,2.45,Obach et al,0.78,Berry et al,3.63,Obach et al,0.38,Berry et al,0.7,Berry et al,-1.98,Bennet et al,3.7,Manallack,,
Carumonam,A,0.18,Obach et al,0.72,Obach et al,0.1,Obach et al,0.7,Obach et al,0.1,Obach et al,0.89,Obach et al,0.12,Obach et al,0.76,Obach et al,N,Berry et al,-8.29,Calc,-0.4,Caclulated PKA,,
Cefazolin,A,0.12,Obach et al,0.18,Obach et al,0.17,Obach et al,0.08,Obach et al,0.27,Obach et al,0.7,Obach et al,0.13,Obach et al,0.08,Obach et al,0.64,Berry et al,-3.14,Bennet et al,2.1,Manallack,,
Cefmetazole,A,0.13,Obach et al,0.15,Obach et al,0.35,Obach et al,0.55,Obach et al,0.9,Obach et al,0.75,Obach et al,0.3,Obach et al,0.34,Obach et al,N,Berry et al,-5.04,Calc,2.65,Calculated PKA,,
Cefodizime,A,0.05,Obach et al,0.18,Obach et al,0.18,Obach et al,0.0097,Obach et al,0.26,Obach et al,0.2433,Obach et al,0.15,Obach et al,1,Obach et al,N,Berry et al,-3.58,Calc,2.47,Calculated PKA,,
Cefoperazone,A,0.17,Obach et al,0.07,Obach et al,0.39,Obach et al,0.36,Obach et al,0.28,Obach et al,0.5902,Obach et al,0.13,Obach et al,0.2744,Obach et al,0.64,Berry et al,-2.12,Bennet et al,2.6,Manallack,,
Cefotetan,A,0.13,Obach et al,0.15,Obach et al,0.25,Obach et al,0.7,Obach et al,0.25,Obach et al,0.6,Obach et al,0.17,Obach et al,0.13,Obach et al,0.65,Berry et al,-1.2,Bennet et al,1.69,Calculated PKA,,
Cefozopran,N,0.24,Obach et al,0.7386,Obach et al,0.2,Obach et al,0.93,Obach et al,0.2,Obach et al,0.9,Obach et al,0.2,Obach et al,0.9,Obach et al,0.92,Gastroplus estimate,-5.93,Calc,,,,
Cefpiramide,A,0.15,Obach et al,0.03,Obach et al,0.26,Obach et al,0.54,Obach et al,0.49,Obach et al,0.7,Obach et al,0.1,Obach et al,0.07,Obach et al,0.65,Berry et al,-5.14,Calc,2.62,Calculated PKA,,
Ceftizoxime,N,0.2,Obach et al,0.72,Obach et al,0.54,Obach et al,0.7,Obach et al,0.27,Obach et al,0.83,Obach et al,0.29,Obach et al,0.662,Obach et al,0.68,Gastroplus estimate,-3.65,Calc,,,,
Ceftriaxone,A,0.09,Obach et al,0.052,Obach et al,1,Obach et al,0.071,Obach et al,0.25,Obach et al,0.7172,Obach et al,0.11,Obach et al,0.0487,Obach et al,N,Berry et al,-4.3,Bennet et al,3.2,Manallack,,
Chlorpromazine,B,11,Berry et al,0.12,Berry et al,29,Berry et al,0.062,Berry et al,16,Berry et al,0.073,Berry et al,8,Berry et al,0.26,Berry et al,1.2,Berry et al,2.82,Bennet et al,,,9.3,Manallack
Cimetidine,B,1.2,Berry et al,0.75,Berry et al,3.3,Berry et al,0.69,Berry et al,1.8,Berry et al,0.72,Berry et al,2,Berry et al,0.85,Berry et al,0.97,Berry et al,0.33,Bennet et al,,,6.8,Manallack
Ciprofloxacin,Z,2.1,Obach et al,0.7,Obach et al,4.6,Obach et al,0.79,Obach et al,3.1,Obach et al,0.8772,Obach et al,1.8,Obach et al,0.5505,Obach et al,0.75,Berry et al,-1.21,Bennet et al,6,Manallack,8.8,Manallack
Citalopram,B,12,Obach et al,0.2,Obach et al,21,Obach et al,0.26,Obach et al,10,Obach et al,0.4444,Obach et al,10,Obach et al,0.3989,Obach et al,1.3,Berry et al,0.74,Bennet et al,,,9.57,Calculated PKA
Clonazepam,N,2.9,Obach et al,0.15,Obach et al,3.1,Obach et al,0.23,Obach et al,2.49,Obach et al,0.18,Obach et al,6.8,Obach et al,0.1213,Obach et al,0.86,Gastroplus estimate,2.41,Bennet et al,,,,
Coumarin,N,2.2,Jolivette and Ward,0.17,Jolivette and Ward,1.3,Jolivette and Ward,0.32,Jolivette and Ward,6.5,Jolivette and Ward,0.28,Jolivette and Ward,4.5,Jolivette and Ward,0.24,Jolivette and Ward,1.1,Berry et al,2.02,Calc,,,,
