std_smiles,std_relation,human_VDss_L/kg,inchi_key
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,=,12.0,ZHXUEUKVDMWSKV-UHFFFAOYSA-N
C#CCN(C)C(C)Cc1ccccc1,=,1.9,MEZLKOACVSPNER-UHFFFAOYSA-N
C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)c(F)c1,=,0.53,IEJSCSAMMLUINT-NRFANRHFSA-N
C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,=,1.5,OGSBUKJUDHAQEA-HOCLYGCPSA-N
C#CC[C@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,=,0.53,OGSBUKJUDHAQEA-ZBFHGGJFSA-N
C#C[C@@]1(O)CCC2[C@@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,=,1.5,WWYNJERNGUHSAO-GTVOAPJKSA-N
C#C[C@@]1(O)[C@@H](CO)O[C@H](n2ccc(N)nc2=O)[C@@H]1O,=,1.1,JFIWEPHGRUDAJN-XAWUEOSKSA-N
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,=,0.46,SIGSPDASOTUPFS-XUDSTZEESA-N
C#C[C@]1(O)CCC2[C@@H]3CCc4cc(O)ccc4C3CC[C@@]21C,=,4.3,BFPYWIDHMRZLRN-RUDWHLCBSA-N
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,=,2.87,GCKFUYQCUCGESZ-BPIQYHPVSA-N
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,=,1.5,WWYNJERNGUHSAO-XUDSTZEESA-N
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,=,5.18,POZRVZJJTULAOH-LHZXLZLDSA-N
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,=,4.3,BFPYWIDHMRZLRN-SLHNCBLASA-N
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,=,2.3,WLGIWVFFGMPRLM-SLHNCBLASA-N
